Gene ID,t=0hr ,t=8hr,t=16hr,t=24hr,t=32hr,t=40hr,t=48hr,t=56hr
A1BG,232,444,378,354,404,348,454,393
A1BG-AS1,76,132,93,105,105,104,107,101
A1CF,1,4,4,2,3,3,3,2
A2M,6260,6421,5848,8229,9817,12408,12812,14799
A2M-AS1,55,15,23,31,47,42,46,40
A2ML1,6,9,12,10,9,15,8,11
A2MP1,0,0,0,1,1,2,1,0
A4GALT,586,855,350,523,571,548,775,674
A4GNT,23,32,56,59,65,54,57,56
AA06,0,0,0,0,0,0,0,0
AAAS,990,639,1015,1165,1411,1128,1366,1166
AACS,857,738,818,675,748,846,1004,1006
AACSP1,0,0,0,0,0,0,0,0
AADAC,0,0,0,0,0,0,0,0
AADACL2,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0
AADACL4,2,1,1,7,17,24,23,20
AADAT,626,565,293,310,440,488,398,421
AAED1,490,335,273,331,439,475,468,461
AAGAB,1304,1573,1122,1111,1472,1480,1519,1473
AAK1,1702,2537,2152,2046,2037,2654,2168,2602
AAMDC,238,170,145,266,363,316,348,291
AAMP,2076,2743,1683,1888,2171,2135,2392,2182
AANAT,1,1,1,2,2,2,1,0
AAR2,1464,2137,1081,1144,1384,1429,1702,1544
AARD,127,33,114,169,227,222,257,241
AARS,5498,2872,8061,10636,10931,10390,9658,9071
AARS2,474,660,524,561,607,561,594,580
AARSD1,628,647,687,564,683,654,705,663
AASDH,416,348,310,320,409,463,396,421
AASDHPPT,1586,1471,1085,1186,1479,1684,1429,1511
AASS,995,738,725,852,1268,1524,1226,1310
AATF,1045,1741,964,1218,1538,1508,1629,1449
AATK,15,9,7,10,10,12,15,15
AATK-AS1,0,0,1,0,0,0,1,0
ABAT,193,239,227,204,282,282,271,308
ABCA1,4140,1291,728,1677,2373,2926,1950,2667
ABCA10,96,52,46,80,112,118,123,130
ABCA11P,162,124,125,120,159,155,139,149
ABCA12,2,2,2,1,2,1,3,3
ABCA13,28,31,27,30,32,49,36,39
ABCA17P,3,5,7,5,6,9,6,8
ABCA2,3164,2130,1896,2306,2383,2587,3116,2940
ABCA3,113,62,118,215,245,245,273,284
ABCA4,93,26,22,28,24,31,31,36
ABCA5,1008,623,556,899,1374,1739,1627,1796
ABCA6,1090,59,40,42,59,101,80,101
ABCA7,461,84,109,264,311,276,363,343
ABCA8,183,35,17,29,39,55,66,65
ABCA9,434,66,43,66,85,124,87,111
ABCB1,7,9,7,3,5,4,4,2
ABCB10,731,911,644,654,817,848,788,881
ABCB11,0,0,0,0,0,0,0,0
ABCB4,406,175,111,181,292,304,312,288
ABCB5,37,38,32,36,30,36,41,37
ABCB6,771,384,1011,910,925,791,872,726
ABCB7,562,340,286,344,397,503,477,466
ABCB8,644,548,715,778,865,743,946,831
ABCB9,161,100,124,161,157,163,204,189
ABCC1,4548,6283,4082,4021,4369,5024,5319,5351
ABCC10,863,996,921,1110,1190,1152,1316,1239
ABCC11,1,0,1,1,1,2,1,0
ABCC12,0,0,0,0,0,0,0,0
ABCC13,2,8,4,6,6,7,8,8
ABCC2,18,64,20,20,26,19,15,22
ABCC3,2184,2742,2584,3776,3250,3420,4241,3782
ABCC4,843,1507,718,753,963,1160,1056,1268
ABCC5,1319,998,1127,1239,1449,1420,1290,1423
ABCC5-AS1,0,0,0,0,0,0,0,0
ABCC6,221,46,44,90,134,181,205,175
ABCC6P1,35,1,5,8,19,16,16,21
ABCC6P2,13,4,1,2,4,3,5,6
ABCC8,0,0,0,0,0,0,0,0
ABCC9,570,523,395,586,686,814,668,786
ABCD1,541,491,398,533,631,590,737,677
ABCD2,1,0,1,0,0,1,0,0
ABCD3,1305,1234,1140,1127,1454,1692,1478,1570
ABCD4,918,469,535,696,713,731,828,736
ABCE1,3640,5886,3222,2245,3029,3499,2931,3367
ABCF1,2810,4229,2235,2206,2698,2924,3287,3156
ABCF2,2054,3522,1843,2007,2278,2432,2678,2427
ABCF3,1680,1833,1372,1462,1579,1542,1795,1671
ABCG1,160,13,4,25,26,11,8,12
ABCG2,52,22,15,29,15,23,21,29
ABCG4,17,3,5,7,11,10,11,12
ABCG5,0,0,0,1,1,0,0,0
ABCG8,1,0,0,0,1,0,0,0
ABHD1,5,5,2,3,2,5,2,4
ABHD10,682,664,579,526,738,694,678,698
ABHD11,231,266,279,249,274,259,316,281
ABHD12,876,1115,798,951,1204,1156,1428,1272
ABHD12B,3,4,4,6,6,7,5,5
ABHD13,989,917,443,495,642,784,678,732
ABHD14A,383,291,194,202,268,242,298,273
ABHD14A-ACY1,120,125,97,157,80,148,127,150
ABHD14B,1304,1001,819,1132,1393,1355,1749,1490
ABHD15,660,478,363,465,612,604,676,638
ABHD16A,1092,844,912,1073,1159,1059,1188,1041
ABHD16B,73,198,107,138,125,107,137,123
ABHD2,3440,6311,3141,3166,3165,4113,3461,3943
ABHD3,164,131,112,124,156,132,130,119
ABHD4,1876,700,1201,1990,2425,2512,2777,2588
ABHD5,1293,1561,977,1159,1411,1543,1456,1362
ABHD6,185,159,118,135,151,161,169,166
ABHD8,556,217,214,463,530,549,747,613
ABI1,2390,2157,1915,1918,2295,2424,2198,2358
ABI2,3350,2385,1691,2005,2363,2865,2506,2700
ABI3,44,45,25,32,28,27,33,38
ABI3BP,586,1226,763,599,657,704,572,583
ABL1,8337,5686,4478,5325,5493,6288,7101,6813
ABL2,1868,4997,2544,2153,2016,2894,2342,3025
ABLIM1,1684,975,1092,1508,1813,2140,1700,2005
ABLIM2,2,2,2,3,3,4,3,1
ABLIM3,1734,1473,1302,1367,1429,1488,1202,1168
ABO,0,0,0,0,0,0,0,0
ABP1,0,0,0,0,0,0,0,0
ABR,3294,5530,2439,2612,2934,3441,3957,4165
ABRA,0,1,0,0,0,1,0,0
ABRACL,321,501,301,291,428,423,389,382
ABT1,685,828,530,571,652,630,769,652
ABTB1,1345,460,542,903,1030,914,1172,979
ABTB2,477,635,695,662,475,468,573,592
ACAA1,1264,910,924,1147,1330,1230,1521,1332
ACAA2,1540,1093,952,1137,1285,1420,1435,1346
ACACA,2089,2605,2331,1973,2132,2786,2908,3324
ACACB,417,102,186,356,418,480,459,452
ACAD10,556,458,526,585,660,633,719,663
ACAD11,2635,816,954,1410,1772,1948,1797,1761
ACAD8,770,539,430,533,608,587,671,661
ACAD9,1031,982,991,979,1180,1155,1286,1208
ACADL,0,0,0,0,1,0,1,0
ACADM,1053,719,845,843,1134,1144,1016,1016
ACADS,263,189,225,359,380,354,435,379
ACADSB,893,573,482,605,883,1028,878,986
ACADVL,11552,6544,7456,8679,7893,5972,6498,5646
ACAN,2,72,56,63,76,126,141,169
ACAP1,19,43,40,46,51,41,49,53
ACAP2,4784,3410,2298,2753,3403,4156,3285,4131
ACAP3,2512,1578,2270,2340,2132,1864,2506,2266
ACAT1,1583,909,907,1033,1427,1514,1572,1501
ACAT2,621,440,402,282,296,347,473,545
ACBD3,3159,3989,2477,1866,2309,2860,2511,2802
ACBD4,341,179,245,394,486,445,503,471
